,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
2608,81,5,3.0,64,15.83,25.11,0
2609,44,11,4.4,27,5.65,8.97,0
2610,138,9,7.4,81,27.06,42.94,0
2611,103,4,3.2,85,26.55,42.12,0
2612,106,18,6.6,62,12.54,19.89,0
2613,129,9,7.2,66,38.72,61.44,0
2614,53,7,3.4,34,8.37,13.29,0
2615,101,7,5.6,39,35.13,55.74,0
2616,100,2,2.0,88,12.03,19.09,0
2617,88,14,5.2,61,22.22,35.26,0
2618,68,5,3.6,51,28.04,44.49,0
2619,49,4,2.8,38,16.53,26.22,0
2620,68,10,7.0,30,36.42,57.79,0
2621,87,16,8.8,43,35.9,56.96,0
2622,71,10,3.8,53,17.6,27.92,0
2623,80,7,6.2,34,19.9,31.57,0
2624,196,30,14.6,91,36.68,58.19,0
2625,61,8,5.8,22,24.08,38.2,0
2626,74,6,3.4,56,22.14,35.12,0
2627,69,14,6.0,43,14.55,23.08,0
2628,124,4,3.2,103,14.51,23.01,0
2629,56,5,3.2,42,20.87,33.11,0
2630,80,4,2.8,68,18.28,29.0,0
2631,169,9,7.0,93,29.65,47.04,0
2632,89,5,4.0,61,6.08,9.64,0
2633,37,6,4.2,20,20.29,32.2,0
2634,51,7,4.4,28,9.84,15.61,0
2635,291,10,8.4,171,66.64,105.73,0
2636,139,24,16.0,38,32.59,51.7,0
2637,70,5,3.4,48,11.64,18.47,0
2638,38,4,2.8,27,12.74,20.21,0
2639,63,8,4.0,36,7.44,11.81,0
2640,186,22,11.0,75,78.95,125.26,0
2641,52,2,1.8,48,12.03,19.09,0
2642,38,4,3.2,16,19.4,30.77,0
2643,78,6,3.6,50,18.5,29.36,0
2644,104,14,8.6,45,24.48,38.84,0
2645,58,4,3.0,38,13.58,21.54,0
2646,79,4,3.2,64,16.51,26.19,0
2647,91,6,3.0,74,15.44,24.5,0
2648,128,26,9.8,66,26.47,41.99,0
2649,94,9,5.2,64,0.0,0.0,0
2650,105,8,5.6,64,31.42,49.86,0
2651,141,19,13.6,55,34.92,55.4,0
2652,63,12,5.2,39,19.85,31.49,0
2653,70,12,7.4,25,30.51,48.4,0
2654,77,6,3.6,47,13.03,20.68,0
2655,91,12,6.2,61,36.94,58.6,0
2656,214,21,14.2,117,35.54,56.39,0
2657,126,16,9.0,33,30.53,48.44,0
2658,139,27,15.0,44,67.37,106.89,0
2659,158,12,5.2,119,32.74,51.95,0
2660,87,11,8.4,33,24.9,39.51,0
2661,78,3,3.0,55,16.01,25.41,0
2662,98,14,10.6,36,33.85,53.71,0
2663,92,6,3.2,60,33.77,53.58,0
2664,108,2,2.0,98,9.74,15.45,0
2665,44,4,3.2,32,21.73,34.47,0
2666,53,6,3.4,37,8.8,13.96,0
2667,155,37,11.2,72,30.36,48.17,0
2668,138,22,14.6,36,31.57,50.09,0
2669,76,4,3.2,64,14.03,22.27,0
2670,45,6,3.6,31,11.63,18.46,0
2671,79,22,11.0,25,70.31,111.55,0
2672,99,6,5.6,57,33.59,53.29,0
2673,43,8,4.2,25,19.42,30.82,0
2674,126,18,8.6,52,34.66,55.0,0
2675,160,28,14.8,56,41.85,66.4,0
2676,105,15,9.6,38,75.66,120.03,0
2677,181,8,6.2,131,10.68,16.94,0
2678,189,18,10.8,94,58.97,93.56,0
2679,122,10,5.2,75,12.09,19.19,0
2680,96,13,8.4,42,24.6,39.03,0
2681,40,4,2.8,27,2.93,4.65,0
2682,66,16,6.8,27,11.92,18.92,0
2683,160,18,8.8,100,22.69,35.99,0
2684,49,3,2.4,39,10.01,15.87,0
2685,44,5,3.0,34,7.38,11.71,0
2686,67,5,4.2,40,28.56,45.31,0
2687,118,23,9.2,75,10.22,16.21,0
2688,94,8,5.4,48,37.23,59.06,0
2689,79,3,2.6,62,16.83,26.71,0
2690,72,6,4.0,44,12.93,20.52,0
2691,105,4,3.6,75,18.9,29.99,0
2692,94,3,1.6,91,4.68,7.43,0
2693,130,28,18.6,24,41.41,65.7,0
2694,266,8,5.8,192,45.09,71.53,0
2695,86,11,6.0,50,23.77,37.71,0
2696,322,27,20.0,128,44.15,70.05,0
2697,67,4,3.2,48,3.71,5.88,0
2698,69,9,5.8,34,24.13,38.28,0
2699,119,10,8.8,53,49.21,78.07,0
2700,81,5,3.6,62,21.81,34.6,0
2701,270,22,14.2,137,57.74,91.6,0
2702,59,10,4.6,38,30.25,47.99,0
2703,95,3,2.6,86,7.51,11.92,0
2704,114,7,5.0,65,24.42,38.74,0
2705,62,12,3.8,48,7.52,11.94,0
2706,125,12,9.4,66,31.62,50.16,0
2707,46,4,2.6,38,15.28,24.25,0
2708,50,6,3.6,35,15.95,25.31,0
2709,71,5,4.4,40,23.61,37.45,0
2710,57,3,2.4,50,3.22,5.11,0
2711,45,5,3.6,32,17.12,27.16,0
2712,144,15,12.0,51,89.18,141.49,0
2713,58,8,3.2,35,7.99,12.68,0
2714,48,5,2.6,40,7.04,11.17,0
2715,75,9,4.8,32,21.23,33.68,0
2716,35,3,1.4,33,11.09,17.59,0
2717,64,30,9.8,15,31.57,50.1,0
2718,60,6,4.0,41,20.99,33.3,0
2719,39,4,3.0,26,7.25,11.5,0
2720,105,16,6.8,58,31.77,50.4,0
2721,235,13,12.2,99,101.06,160.34,0
2722,151,7,5.6,100,38.78,61.53,0
2723,76,5,3.8,44,23.05,36.58,0
2724,144,9,6.8,74,38.0,60.29,0
2725,82,11,7.0,48,35.8,56.8,0
2726,48,3,2.2,37,16.06,25.48,0
2727,114,15,11.8,40,44.52,70.64,0
2728,36,8,4.8,14,7.3,11.58,0
2729,109,10,9.0,35,22.29,35.37,0
2730,201,5,4.2,138,48.92,77.61,0
2731,78,10,6.8,45,18.99,30.12,0
2732,76,12,7.2,33,0.0,0.0,0
2733,144,26,9.8,99,13.0,20.62,0
2734,93,8,4.4,53,31.99,50.75,0
2735,113,15,6.8,71,39.92,63.34,0
2736,54,7,5.2,32,18.3,29.03,0
2737,85,13,5.4,51,27.58,43.76,0
2738,58,3,2.6,43,20.41,32.38,0
2739,126,15,8.0,62,22.63,35.91,0
2740,80,13,6.6,47,48.18,76.45,0
2741,109,4,3.0,86,14.99,23.78,0
2742,92,4,3.6,69,22.65,35.94,0
2743,93,7,5.8,40,22.04,34.98,0
2744,102,7,4.0,83,25.75,40.86,0
2745,72,7,4.0,51,18.75,29.75,0
2746,85,9,5.4,45,20.68,32.81,0
2747,59,15,6.0,28,35.85,56.89,0
2748,32,7,4.4,14,14.29,22.68,0
2749,110,4,3.2,87,10.83,17.18,0
2750,116,6,5.6,61,55.3,87.73,0
2751,77,8,5.0,53,25.19,39.96,0
2752,110,15,10.0,35,54.21,86.01,0
2753,45,5,3.0,29,7.35,11.66,0
2754,106,11,7.0,54,49.27,78.18,0
2755,31,3,1.6,28,3.82,6.07,0
2756,68,7,4.6,44,15.94,25.29,0
2757,194,9,9.0,98,55.67,88.32,0
2758,38,6,4.0,19,16.55,26.25,0
2759,91,6,4.0,51,21.85,34.66,0
2760,91,4,3.0,74,20.21,32.07,0
2761,55,4,2.4,48,5.73,9.09,0
2762,125,12,8.4,38,46.03,73.04,0
2763,100,15,5.0,70,9.06,14.37,0
2764,191,40,16.2,57,73.47,116.56,0
2765,41,4,2.2,35,4.99,7.92,0
2766,32,5,2.2,26,3.55,5.63,0
2767,69,5,3.8,43,23.74,37.67,0
2768,173,26,12.6,65,49.34,78.28,0
2769,207,24,10.8,105,44.41,70.46,0
2770,67,4,3.0,45,5.92,9.39,0
2771,206,20,12.2,64,56.26,89.25,0
2772,88,9,4.6,62,26.29,41.71,0
2773,100,3,2.2,84,12.9,20.47,0
2774,96,11,5.8,71,17.21,27.31,0
2775,104,13,11.4,29,36.44,57.82,0
2776,98,6,4.0,79,14.06,22.3,0
2777,49,21,7.0,15,34.27,54.38,0
2778,214,8,5.2,159,47.87,75.94,0
2779,74,10,5.0,48,39.92,63.34,0
2780,115,12,7.4,61,25.0,39.66,0
2781,70,3,2.2,59,13.98,22.19,0
2782,32,1,1.0,32,1.7,2.69,0
2783,76,10,6.4,40,5.31,8.42,0
2784,59,2,1.4,57,8.93,14.18,0
2785,61,10,6.4,29,22.73,36.06,0
2786,69,7,5.0,36,11.35,18.01,0
2787,97,22,10.0,34,19.15,30.38,0
2788,100,5,3.4,77,6.5,10.32,0
2789,108,13,8.2,55,42.63,67.64,0
