,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
3482,113,5,4.8,68,29.49,46.78,1
3483,125,19,9.0,74,21.35,33.87,1
3484,204,4,3.4,173,37.23,59.07,1
3485,151,8,6.0,76,37.05,58.78,1
3486,155,7,7.0,80,27.22,43.18,1
3487,156,14,7.0,65,45.25,71.8,1
3488,69,8,5.8,33,15.31,24.29,1
3489,122,10,8.2,69,36.27,57.54,1
3490,111,13,6.6,53,29.68,47.09,1
3491,262,23,17.2,85,122.97,195.11,1
3492,196,49,22.0,76,35.86,56.9,1
3493,337,69,29.4,31,68.01,107.9,1
3494,143,17,9.0,81,26.09,41.39,1
3495,72,9,5.6,38,32.13,50.98,1
3496,261,46,22.4,121,84.61,134.24,1
3497,115,11,7.6,57,22.89,36.32,1
3498,145,26,8.8,75,21.79,34.58,1
3499,177,19,9.2,84,48.75,77.34,1
3500,118,7,6.4,66,28.28,44.87,1
3501,97,8,5.6,48,29.36,46.57,1
3502,168,21,12.6,53,61.01,96.8,1
3503,85,24,7.6,45,12.5,19.84,1
3504,249,24,15.4,84,67.86,107.67,1
3505,142,6,4.0,90,25.93,41.15,1
3506,155,13,6.0,106,33.98,53.91,1
3507,147,13,6.4,93,35.67,56.6,1
3508,351,27,12.8,243,58.26,92.44,1
3509,116,14,9.2,43,39.0,61.88,1
3510,286,42,20.0,108,84.12,133.46,1
3511,260,32,13.0,127,47.91,76.01,1
3512,135,14,12.0,31,55.02,87.29,1
3513,78,6,3.6,55,18.69,29.66,1
3514,199,16,12.2,79,67.17,106.57,1
3515,147,21,12.0,63,79.28,125.79,1
3516,170,16,9.2,81,60.74,96.37,1
3517,97,10,5.6,56,28.97,45.97,1
3518,73,10,3.8,56,16.67,26.45,1
3519,80,9,5.0,56,22.27,35.33,1
3520,113,10,8.0,64,67.24,106.69,1
3521,118,20,10.0,67,48.97,77.69,1
3522,138,9,7.2,57,35.31,56.03,1
3523,167,9,7.0,71,53.88,85.48,1
3524,74,7,4.2,50,42.39,67.25,1
3525,265,31,14.6,112,69.31,109.96,1
3526,69,7,3.8,53,26.7,42.36,1
3527,193,12,8.4,106,52.17,82.78,1
3528,182,9,7.4,82,42.36,67.2,1
3529,108,13,6.8,58,17.66,28.02,1
3530,523,50,37.2,244,66.62,105.7,1
3531,234,5,4.4,183,53.27,84.52,1
3532,177,30,20.0,54,70.57,111.97,1
3533,47,2,2.0,41,13.21,20.95,1
3534,219,47,22.4,72,33.97,53.9,1
3535,260,38,21.6,67,113.87,180.66,1
3536,154,15,5.8,86,23.61,37.46,1
3537,92,11,8.4,40,43.38,68.82,1
3538,159,41,20.0,55,24.35,38.63,1
3539,282,24,17.8,114,65.72,104.28,1
3540,160,9,6.4,74,42.91,68.07,1
3541,58,4,4.0,36,17.73,28.13,1
3542,368,14,11.6,236,58.89,93.43,1
3543,179,11,8.0,92,56.17,89.12,1
3544,183,9,8.0,66,42.6,67.58,1
3545,223,20,15.2,88,101.26,160.66,1
3546,159,11,8.0,76,39.82,63.18,1
3547,111,6,5.2,63,47.46,75.31,1
3548,183,22,16.2,46,121.94,193.47,1
3549,88,9,5.8,39,13.3,21.11,1
3550,78,10,6.4,39,30.14,47.82,1
3551,180,33,10.0,73,24.34,38.62,1
3552,241,34,24.2,66,133.63,212.02,1
3553,208,30,21.4,38,0.04,0.07,1
3554,250,43,18.8,102,186.31,295.6,1
3555,115,12,6.0,58,22.67,35.96,1
3556,137,7,5.0,82,34.98,55.5,1
3557,232,37,17.0,74,92.59,146.89,1
3558,143,4,3.6,94,34.14,54.16,1
3559,137,14,8.6,50,73.23,116.18,1
3560,134,13,8.0,64,39.66,62.92,1
3561,203,15,13.8,66,37.58,59.63,1
3562,139,25,15.4,46,25.22,40.02,1
3563,148,8,6.2,66,30.83,48.92,1
3564,276,18,9.4,195,61.34,97.33,1
3565,123,5,4.0,90,31.94,50.68,1
3566,44,7,4.0,28,20.51,32.54,1
3567,337,32,17.6,153,94.92,150.6,1
3568,135,13,8.2,61,35.17,55.8,1
3569,193,19,11.8,84,67.91,107.75,1
3570,173,16,11.8,57,49.5,78.53,1
3571,153,22,12.6,77,30.01,47.61,1
3572,66,6,4.6,41,24.92,39.54,1
3573,325,19,13.8,167,82.0,130.11,1
3574,134,9,5.8,63,42.53,67.48,1
3575,174,16,12.6,71,56.05,88.93,1
3576,106,12,8.2,45,56.51,89.65,1
3577,277,8,6.4,193,55.09,87.4,1
3578,59,4,3.2,40,6.26,9.93,1
3579,64,4,3.0,52,22.42,35.57,1
3580,260,16,13.0,119,88.79,140.88,1
3581,170,10,8.6,78,54.09,85.82,1
3582,277,47,22.2,124,115.28,182.89,1
3583,106,14,10.6,43,26.2,41.58,1
3584,100,9,6.4,52,19.34,30.69,1
3585,86,30,8.2,44,16.85,26.73,1
